user_id,products,reviews
8446565,89,47
8452501,119,29
8508242,85,20
8613184,170,16
8623037,708,37
8627815,419,99
8653290,26,24
8685478,191,16
8688862,82,14
8694982,116,34
8695735,53,24
8713354,524,21
8721137,157,13
8721421,38,16
8757059,193,24
8770953,79,13
8800400,633,40
8873711,139,11
8893908,135,93
8952082,63,24
9029466,79,20
9088062,210,44
9113343,143,126
9281735,2424,105
9354692,446,27
9401343,131,33
9418339,629,21
9425354,80,13
9439584,284,51
9535757,94,35
9579863,179,21
9599514,289,191
9683497,150,33
9683681,131,42
9701142,272,15
9790284,271,25
9815004,803,59
9852139,391,13
9887351,94,12
9934134,190,10
10007025,692,79
10029702,90,19
10117752,99,21
10129509,669,12
10242688,118,28
10299669,95,23
10523019,303,15
10536309,156,52
10549343,108,21
10622864,1359,114
10723521,94,12
10731297,185,23
10767084,360,12
10820978,77,33
10888620,356,114
10971141,189,24
10974724,123,17
11121008,86,20
11130955,152,40
12214725,419,111
12236462,160,64
12256177,49,30
12266246,36,26
12301326,486,21
12466215,2192,45
12479511,92,16
12542693,50,16
12608513,579,33
12618677,608,28
12767445,65,15
12786715,63,28
12857493,134,28
13048237,133,18
13053607,132,18
13086365,220,33
13105838,145,15
13227540,129,18
13245016,168,17
13248402,138,12
13278583,62,11
13316780,73,11
13323409,195,32
13345914,130,11
13397125,249,91
13492041,3054,55
13501945,190,14
13502946,214,20
13507986,117,15
13559869,166,26
13585427,109,35
13631735,121,13
13639812,109,18
13653367,145,21
13676505,181,29
13737349,79,17
13746902,27,13
13808785,35,15
13836715,85,34
13875832,74,14
13924734,51,27
13953322,119,57
14038234,265,34
14177824,41,30
14186607,40,15
14249313,124,36
44312,740,25
62571,277,39
87856,1647,48
94527,66,17
141744,47,14
227574,140,21
259911,46,14
270278,43,14
281578,834,307
295615,91,44
302504,264,12
477548,51,10
515604,39,10
548278,282,18
550030,223,15
562502,45,17
568527,100,17
595086,31,14
596642,62,14
603838,62,35
606659,128,27
618550,209,23
658717,151,33
744282,80,11
744663,200,15
763118,193,60
924889,67,14
1004175,135,18
1053054,75,49
1101816,71,15
1108664,92,10
1137081,100,19
1168305,35,15
1171454,62,13
1209235,27,19
1209740,109,62
1285491,203,71
1291628,4,14
1335169,331,17
1383666,79,41
1445944,69,62
1455638,91,17
1506918,237,12
1544955,69,18
1545571,67,33
1675246,118,47
1779300,50,13
1797196,73,17
1851328,217,28
1886388,162,18
1913936,144,29
1941409,38,13
1942284,81,23
1952129,24,13
1988205,332,10
2014132,204,21
2025147,88,33
2038699,119,19
2044518,469,65
